date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-03-26,PI,,state,200285,3967,False,3281480,22,6103.49598,0.0198
2021-03-26,PR,,state,828749,15939,False,11516840,41,7195.97563,0.0192
2021-03-26,RJ,,state,635712,35758,False,17366189,33,3660.63044,0.0562
2021-03-26,RN,,state,193228,4394,False,3534165,24,5467.43007,0.0227
2021-03-26,RO,,state,181845,3925,False,1796460,11,10122.4074,0.0216
2021-03-26,RR,,state,88980,1320,False,631181,14,14097.38253,0.0148
2021-03-26,RS,,state,816275,18349,False,11422973,43,7145.90676,0.0225
2021-03-26,SC,,state,790362,10318,False,7252502,42,10897.78396,0.0131
2021-03-26,SE,,state,170413,3389,False,2318822,28,7349.11951,0.0199
2021-03-26,SP,,state,2392374,70696,False,46289333,35,5168.30519,0.0296
2021-03-26,TO,,state,138206,1942,False,1590248,17,8690.8457,0.0141
2021-03-25,AC,,state,67292,1217,False,894470,12,7523.11425,0.0181
2021-03-25,AL,,state,149697,3421,False,3351543,27,4466.5099,0.0229
2021-03-25,AM,,state,343133,11893,False,4207714,13,8154.85558,0.0347
2021-03-25,AP,,state,94285,1258,False,861773,16,10940.8162,0.0133
2021-03-25,BA,,state,783558,14631,False,14930634,29,5247.9888,0.0187
2021-03-25,CE,,state,516556,13313,False,9187103,23,5622.62119,0.0258
2021-03-25,DF,,state,335153,5610,False,3055149,53,10970.10326,0.0167
2021-03-25,ES,,state,368612,7161,False,4064052,32,9070.06111,0.0194
2021-03-25,GO,,state,470572,10874,False,7113540,52,6615.15926,0.0231
2021-03-25,MA,,state,238042,5837,False,7114598,21,3345.82502,0.0245
2021-03-25,MG,,state,1067919,22571,False,21292666,31,5015.43113,0.0211
2021-03-25,MS,,state,208495,4045,False,2809394,50,7421.35137,0.0194
2021-03-25,MT,,state,297712,7168,False,3526220,51,8442.80845,0.0241
2021-03-25,PA,,state,408908,10111,False,8690745,15,4705.0972,0.0247
2021-03-25,PB,,state,251278,5404,False,4039277,25,6220.86576,0.0215
2021-03-25,PE,,state,339022,11853,False,9616621,26,3525.37549,0.035
2021-03-25,PI,,state,198664,3950,False,3281480,22,6054.09754,0.0199
2021-03-25,PR,,state,824050,15750,False,11516840,41,7155.17451,0.0191
2021-03-25,RJ,,state,632533,35563,False,17366189,33,3642.32475,0.0562
2021-03-25,RN,,state,193228,4388,False,3534165,24,5467.43007,0.0227
2021-03-25,RO,,state,180348,3876,False,1796460,11,10039.07685,0.0215
2021-03-25,RR,,state,88707,1318,False,631181,14,14054.13027,0.0149
2021-03-25,RS,,state,815172,17941,False,11422973,43,7136.25078,0.022
2021-03-25,SC,,state,786197,10108,False,7252502,42,10840.35551,0.0129
2021-03-25,SE,,state,169458,3368,False,2318822,28,7307.9348,0.0199
2021-03-25,SP,,state,2370885,69503,False,46289333,35,5121.88197,0.0293
2021-03-25,TO,,state,137128,1912,False,1590248,17,8623.05754,0.0139
2021-03-24,AC,,state,66744,1210,False,894470,12,7461.84892,0.0181
2021-03-24,AL,,state,148996,3398,False,3351543,27,4445.59416,0.0228
2021-03-24,AM,,state,341968,11860,False,4207714,13,8127.16834,0.0347
2021-03-24,AP,,state,93689,1253,False,861773,16,10871.65646,0.0134
2021-03-24,BA,,state,779321,14492,False,14930634,29,5219.6109,0.0186
2021-03-24,CE,,state,514748,13297,False,9187103,23,5602.94143,0.0258
2021-03-24,DF,,state,333348,5553,False,3055149,53,10911.02267,0.0167
2021-03-24,ES,,state,366120,7110,False,4064052,32,9008.743,0.0194
2021-03-24,GO,,state,466024,10653,False,7113540,52,6551.22485,0.0229
2021-03-24,MA,,state,236832,5798,False,7114598,21,3328.81774,0.0245
2021-03-24,MG,,state,1053994,22497,False,21292666,31,4950.03303,0.0213
2021-03-24,MS,,state,206968,3975,False,2809394,50,7366.99801,0.0192
2021-03-24,MT,,state,294974,7095,False,3526220,51,8365.16156,0.0241
2021-03-24,PA,,state,406050,10011,False,8690745,15,4672.21165,0.0247
2021-03-24,PB,,state,249606,5354,False,4039277,25,6179.47222,0.0214
2021-03-24,PE,,state,336236,11807,False,9616621,26,3496.40482,0.0351
2021-03-24,PI,,state,197159,3919,False,3281480,22,6008.23409,0.0199
2021-03-24,PR,,state,812719,15454,False,11516840,41,7056.78815,0.019
2021-03-24,RJ,,state,629553,35373,False,17366189,33,3625.16497,0.0562
2021-03-24,RN,,state,190914,4342,False,3534165,24,5401.95492,0.0227
2021-03-24,RO,,state,179178,3831,False,1796460,11,9973.94877,0.0214
2021-03-24,RR,,state,88458,1303,False,631181,14,14014.68042,0.0147
2021-03-24,RS,,state,809039,17748,False,11422973,43,7082.56073,0.0219
2021-03-24,SC,,state,778711,9921,False,7252502,42,10737.13596,0.0127
